weather_risk,crime_risk,health_risk,political_risk,transport_disruption,destination_popularity,trip_duration,season_risk,risk_score,risk_level
9,78,62,45,51,7,22,18,56.56188241058466,1
78,67,83,1,46,50,27,36,51.42097665335264,1
66,93,64,67,7,57,5,71,61.139993073617966,1
44,97,60,45,12,73,8,5,46.121433193955866,1
43,71,47,77,60,57,2,92,57.52413389948451,1
86,37,24,62,57,19,15,17,53.52265037823796,1
8,60,28,79,56,37,15,79,40.8518251161636,1
70,42,75,46,15,44,1,62,46.74706910848782,1
20,63,7,0,51,99,20,85,38.798260147900145,1
9,82,8,13,6,53,1,78,24.39434072156393,0
53,37,40,46,14,64,24,52,54.899312328696304,1
98,51,78,40,50,74,22,76,63.87324975121611,1
74,4,66,80,62,36,25,34,56.96509454521098,1
76,74,59,41,66,97,4,58,56.626685016511786,1
72,49,53,86,99,68,27,92,79.11060327741649,2
79,46,11,18,86,85,17,8,52.9988645610363,1
51,53,33,38,38,75,26,35,63.58809482354086,1
12,21,8,76,79,62,21,1,44.58383522220396,1
84,60,76,12,9,3,20,53,61.46796260183062,1
45,75,75,32,86,58,1,78,71.90856488886249,2
50,35,26,75,39,13,21,3,49.54322646059874,1
37,13,29,59,76,60,14,55,54.271505241671214,1
18,39,32,78,98,70,26,41,62.584406794342414,1
93,20,89,52,71,55,21,79,67.89392415586941,2
78,37,49,86,92,31,3,22,63.5520462067088,1
65,63,76,88,1,5,27,16,53.991498219793044,1
40,11,45,98,17,67,2,9,38.2527155626769,1
83,75,70,12,63,70,9,41,48.52751487732222,1
55,22,53,59,54,48,7,49,37.56838509033335,1
44,90,28,11,12,72,30,92,55.45727213415134,1
45,73,88,23,72,78,5,47,49.555528428799676,1
22,27,71,30,5,51,26,17,35.57731749217974,1
9,56,77,65,100,4,7,70,64.4806071160992,1
56,11,95,43,15,87,20,6,41.02829760490281,1
89,10,25,87,44,47,3,34,41.625271557747396,1
6,96,9,30,83,67,12,66,57.88209429488719,1
86,81,58,62,51,92,19,25,66.55458858120352,2
83,15,32,77,75,36,22,60,63.51645408102698,1
27,28,44,99,71,62,27,45,52.39136231631803,1
63,19,23,24,95,1,25,96,55.11003465922408,1
16,39,40,74,46,89,16,29,51.033766899620716,1
76,29,39,8,98,5,10,91,60.01106579085221,1
70,33,35,54,52,54,8,63,45.40624390245363,1
35,53,74,41,90,35,30,75,64.45665085655094,1
6,19,59,96,73,3,19,17,46.39787961961709,1
98,89,47,78,13,46,28,1,65.3015224904347,2
45,73,11,93,65,94,14,73,55.38559475576083,1
90,76,57,85,88,16,15,48,79.88094476554916,2
68,17,17,41,12,29,25,31,42.138830389097066,1
78,71,31,74,84,19,22,90,73.38968281719352,2
76,84,41,3,10,12,7,32,45.10636230403295,1
19,17,14,56,87,23,16,43,41.41700955421186,1
36,75,39,4,79,57,7,73,56.400712389589316,1
47,36,26,73,15,78,23,97,48.58044897917348,1
50,79,85,97,73,69,1,90,73.2487033540949,2
4,48,86,68,11,77,25,65,47.193873230245835,1
55,81,0,84,57,72,28,11,54.89494287952907,1
15,14,60,23,93,38,1,11,35.92510994868182,1
75,39,64,100,20,90,19,69,63.14933522201712,1
68,27,38,55,17,17,3,51,42.53885915893981,1
93,25,47,68,42,70,11,13,57.487846937172385,1
75,31,79,77,37,11,11,70,70.55248435556723,2
37,38,38,64,4,77,16,95,36.85259415299117,1
97,12,6,32,46,8,28,6,46.5670080385734,1
41,71,37,61,26,21,14,83,59.42388155426713,1
32,55,25,66,12,39,12,34,40.43045400512438,1
91,83,38,86,27,70,3,40,65.66610212216766,2
37,71,23,48,2,4,27,72,42.93170058867529,1
7,15,15,50,92,25,10,24,44.535854056658394,1
47,7,99,50,100,33,14,15,56.379664582431445,1
80,42,13,11,37,73,3,97,36.05881353100405,1
19,48,71,9,88,97,9,35,39.10753866908286,1
46,24,72,2,46,62,17,17,25.621121146715353,0
13,79,62,67,92,51,28,69,70.38625650098247,2
69,58,92,42,17,33,10,21,50.383608136556504,1
48,75,0,87,28,83,17,78,50.53933767725744,1
33,11,30,70,74,10,27,7,51.700213402258676,1
22,82,18,14,22,13,11,52,48.53078313816685,1
57,20,58,10,83,20,9,40,43.07583705973313,1
67,45,64,36,43,27,2,96,52.4761187029218,1
94,44,90,93,40,46,28,52,79.08990761279077,2
44,82,38,4,45,95,4,93,47.30216622502974,1
16,27,23,18,80,65,7,25,23.96692470261288,0
84,24,93,2,0,38,5,47,34.103932080476426,0
63,34,67,41,75,21,22,82,61.171383959511815,1
70,36,77,99,78,65,11,16,66.61911956686018,2
9,18,44,69,82,25,22,93,55.006020307258815,1
31,17,45,49,100,98,19,78,52.71221627992269,1
77,23,39,14,79,48,1,68,34.71103210029648,0
84,47,75,35,53,55,10,24,58.10130646450958,1
43,34,21,52,47,91,1,82,41.18049530405108,1
81,39,98,27,39,30,2,85,71.45625432490093,2
85,72,17,71,83,47,15,29,64.14419377894151,1
39,24,46,98,39,53,8,59,53.00075097065624,1
90,91,31,20,57,27,3,6,70.73531497325101,2
29,75,64,25,9,5,13,39,47.75454977701907,1
24,17,68,12,32,28,14,15,29.6642167643439,0
68,31,92,73,26,11,30,56,59.998468631496095,1
64,18,79,46,43,68,20,55,60.769598203253906,1
14,27,25,28,50,0,12,53,28.395390482940574,0
84,36,20,22,72,31,15,68,54.13272550108873,1
20,13,89,7,43,89,3,93,31.508668072149707,0
81,1,49,48,15,57,12,19,34.78398242453187,0
0,44,9,69,55,67,18,21,31.25640638833965,0
80,70,83,23,5,67,1,21,54.60876333040338,1
79,30,65,0,85,30,28,93,58.853216164490334,1
78,86,2,47,77,63,16,9,51.1294620466418,1
67,37,79,68,22,22,24,3,62.92614358224054,1
47,90,61,34,26,64,9,16,47.685179121776166,1
71,23,62,25,2,68,26,77,47.71764375038433,1
27,54,87,15,36,88,12,58,49.968498292806196,1
78,77,50,75,3,92,28,92,72.49420598344592,2
56,5,46,87,94,2,16,20,42.640186697005795,1
46,93,62,77,13,30,20,39,69.97214020586672,2
51,36,19,52,66,55,7,56,45.566317424009235,1
57,50,15,73,57,32,30,7,54.38582781918001,1
3,63,85,40,23,62,6,92,48.03555030614867,1
14,64,21,2,81,86,1,81,29.249803236353515,0
24,2,50,37,10,26,14,14,26.773025487970813,0
11,87,27,71,89,90,26,85,60.63365175774415,1
44,62,23,65,74,89,28,45,58.714961742660215,1
67,100,60,100,64,92,26,33,82.70758658922925,2
66,47,81,100,88,7,17,95,88.94422252792569,2
47,61,44,24,40,29,28,52,48.56232104084172,1
86,44,14,0,28,12,15,22,46.37952423107593,1
57,89,24,27,15,12,15,81,60.851119521090894,1
7,84,16,88,93,5,6,72,62.313541545056786,1
77,91,89,82,40,44,24,19,71.09750440158439,2
58,50,32,9,83,8,10,68,42.00710290661748,1
64,79,37,16,33,29,6,63,52.030523109198846,1
57,36,7,56,96,99,12,27,43.126295102755115,1
55,46,45,66,87,89,19,43,67.4061408316903,2
9,76,92,99,31,94,9,84,61.56285702103038,1
56,8,41,76,49,3,11,17,39.36597411968817,1
80,71,65,21,80,66,10,72,65.32175810746588,2
30,1,18,3,22,64,18,83,20.213718857043467,0
60,58,14,63,2,13,22,94,55.951299960212815,1
3,48,73,55,29,91,21,32,50.715935980351134,1
35,47,6,93,59,40,5,26,48.88337599001235,1
44,49,45,58,13,98,11,94,49.64578676421635,1
99,49,31,50,33,11,20,46,59.74088025345051,1
21,41,1,30,92,65,7,57,29.101406058287644,0
27,45,53,8,7,13,3,51,33.68102649958294,0
41,57,97,88,5,95,10,51,58.439589460355386,1
100,77,6,83,42,61,21,63,75.41738396190053,2
86,55,82,16,1,7,20,42,56.76486480682271,1
3,64,54,71,2,21,4,39,41.53830821036691,1
23,84,73,36,18,36,21,40,60.46435734906415,1
82,99,9,44,10,1,6,66,56.00421581432367,1
5,10,87,85,81,0,23,82,63.08294262446623,1
86,72,1,85,12,93,17,56,56.50310341712387,1
28,22,91,19,52,99,4,68,41.79054682953927,1
92,19,66,31,71,54,11,41,49.31106130417343,1
29,80,34,82,63,91,25,78,78.0253096536494,2
43,6,0,92,66,66,13,39,54.924176423353835,1
66,85,61,7,36,2,21,42,63.433629525116025,1
12,77,8,84,89,72,23,5,66.63777989648416,2
56,100,61,49,6,1,1,26,46.13471311484572,1
51,67,78,59,10,82,28,74,54.59173354035002,1
79,88,26,7,86,37,11,8,53.020636600212725,1
100,11,24,68,6,14,24,22,47.00738579155326,1
67,89,22,68,19,26,15,78,63.21075549140201,1
41,16,22,66,17,69,18,88,32.59718850220227,0
41,31,11,79,3,85,11,41,43.65955023794188,1
42,12,25,95,11,57,26,41,58.00518940014162,1
82,40,66,85,57,16,4,51,71.56592607503573,2
32,75,30,75,66,90,27,77,73.05313961271882,2
16,27,78,99,8,79,7,47,46.776717630873634,1
33,83,82,68,95,41,27,17,69.15201577563718,2
2,61,76,67,9,56,1,43,43.625168315815806,1
10,63,54,54,69,97,1,25,57.283528221049025,1
9,94,31,77,80,38,3,69,60.74807132495766,1
77,43,93,7,52,2,17,14,49.54025651305635,1
72,34,20,51,49,14,8,61,55.62382195462348,1
70,100,46,42,11,60,18,13,64.06211630447358,1
46,56,45,92,24,100,25,98,59.542589165351174,1
72,62,75,7,85,74,1,64,53.91109232057546,1
16,29,55,65,35,62,16,14,37.11856702459139,1
90,21,80,18,3,32,23,96,52.43813627436654,1
50,17,92,89,73,44,13,57,69.39212002570896,2
94,22,39,86,69,3,28,61,64.89583487323146,1
15,19,88,23,6,37,20,6,37.49798887342162,1
50,75,17,88,5,62,2,18,47.539907493527856,1
70,5,92,50,11,91,17,81,62.10715281788568,1
50,63,17,98,5,93,12,47,53.41298530622524,1
45,95,85,73,62,82,4,62,70.15848858222442,2
16,77,39,3,13,2,29,99,53.45828836269595,1
38,40,97,20,61,81,7,43,44.32712257267674,1
24,5,13,40,17,22,3,38,10.988361259889048,0
30,84,47,21,98,62,7,81,57.87687295437341,1
69,0,91,13,73,95,25,6,41.40223834558465,1
63,68,4,98,37,89,18,45,50.24609523670112,1
61,67,26,87,43,67,25,86,68.42178886123304,2
36,19,8,43,6,30,14,23,14.767338652343614,0
96,74,32,21,5,52,4,30,43.08387898906712,1
8,17,39,18,54,71,12,47,30.511575952268032,0
34,22,62,92,2,51,6,7,39.511977062829395,1
11,82,26,33,64,40,17,7,43.9335831626791,1
34,98,16,1,38,40,9,25,40.88681758831157,1
97,26,17,40,14,60,30,90,47.53561337513302,1
36,93,94,45,54,3,12,22,64.90489911653522,1
91,92,96,62,55,100,10,73,78.60851843955062,2
50,77,22,34,75,10,30,43,57.03850013259095,1
70,14,19,93,19,99,16,76,50.276195203054584,1
46,30,5,64,55,3,6,33,43.48871593048273,1
26,68,96,99,85,51,15,88,78.36274051851358,2
77,100,71,37,27,42,8,37,77.42628221772091,2
97,82,76,65,84,57,22,79,84.70578567989415,2
26,42,29,36,73,43,18,83,48.48459452776189,1
78,23,64,70,43,90,22,43,53.7056413447536,1
26,96,6,75,89,1,29,67,68.04436466154161,2
72,27,68,32,97,99,22,11,57.53538415906042,1
79,34,58,94,23,69,11,50,53.642518191883305,1
45,97,33,86,98,78,7,37,66.99231111801348,2
74,56,71,90,0,14,16,96,65.5905506427684,2
27,26,65,21,13,6,14,94,34.900338904908935,0
8,0,44,72,4,40,10,79,22.523500004731662,0
9,43,18,10,37,32,25,95,36.972360797044836,1
45,99,2,10,94,79,28,98,70.00001187627373,2
91,43,94,98,60,90,12,77,76.89187883279149,2
12,70,28,15,62,43,21,59,56.423451621128756,1
46,25,30,87,8,77,30,20,50.28573782993511,1
71,78,68,43,52,6,1,82,68.27378886164426,2
20,78,25,30,38,74,11,19,51.395894135916286,1
72,61,37,7,48,10,23,18,48.98712642998073,1
30,77,71,68,26,67,15,88,63.34845404102971,1
81,58,60,72,20,38,24,11,60.70121347003917,1
58,38,66,47,96,41,15,14,65.8527203871013,2
55,74,0,81,56,27,2,51,56.40509189875455,1
17,84,45,32,41,40,14,58,47.520335755537374,1
46,84,48,55,7,88,13,4,51.2860532277771,1
86,21,63,28,77,81,26,38,49.91244113365783,1
1,68,15,58,47,34,5,22,43.24082907568356,1
76,0,16,13,39,29,5,30,29.223045604851013,0
49,57,77,48,67,51,5,18,52.503583993161016,1
72,57,68,55,13,69,18,68,62.08486943252097,1
66,36,81,56,53,18,30,47,55.7132604181499,1
43,100,27,45,87,73,19,96,71.97777272794991,2
31,89,100,65,46,95,25,0,62.39340769199961,1
63,3,27,51,0,85,26,78,56.233581463707125,1
14,21,65,28,23,55,19,91,40.82495041784125,1
58,21,16,21,5,32,19,49,28.69164770129938,0
9,90,92,65,50,32,8,70,57.37018958368151,1
65,52,33,94,36,74,29,44,71.5624371807656,2
63,73,81,76,13,45,24,60,67.18980368285736,2
8,81,33,64,69,10,27,91,62.801887597547484,1
76,77,79,93,17,68,30,53,78.47779528405437,2
41,8,45,90,34,13,11,58,51.488312988433925,1
79,14,6,51,99,99,5,99,54.373717599257176,1
4,39,19,11,6,42,26,50,28.798502538356168,0
18,34,69,64,25,34,15,17,43.96514082132032,1
49,75,19,62,32,5,29,68,64.5222224540842,1
19,15,27,28,51,16,21,69,39.98837759377324,1
33,37,54,85,24,95,8,23,46.3993111754089,1
66,23,25,87,97,54,11,73,67.81671650783328,2
14,19,13,33,0,91,19,6,19.2284891721551,0
68,17,63,48,95,96,12,32,46.60918040501783,1
10,19,69,19,54,4,9,86,39.304249781375795,1
17,57,74,18,3,38,7,62,43.082684912409974,1
